,PERSON_ID,DISPLAY_FIRST_LAST,TEAM_ID,TEAM_ABBREVIATION,FROM_YEAR,TO_YEAR,GREATEST_75_FLAG
396,1631197,Jared Rhoden,1610612765,DET,2022.0,2023.0,N
397,1641811,Sir'Jabari Rice,0,,,,N
398,1630208,Nick Richards,1610612766,CHA,2020.0,2024.0,N
399,1626196,Josh Richardson,1610612748,MIA,2015.0,2024.0,N
400,1629130,Duncan Robinson,1610612748,MIA,2018.0,2024.0,N
401,1629010,Jerome Robinson,1610612744,GSW,2018.0,2024.0,N
402,1629011,Mitchell Robinson,1610612752,NYK,2018.0,2024.0,N
403,1631115,Orlando Robinson,1610612748,MIA,2022.0,2023.0,N
404,1630526,Jeremiah Robinson-Earl,1610612740,NOP,2021.0,2024.0,N
405,1631223,David Roddy,1610612756,PHX,2022.0,2024.0,N
406,1631157,Ryan Rollins,1610612749,MIL,2022.0,2024.0,N
407,201565,Derrick Rose,1610612763,MEM,2008.0,2024.0,N
408,1626179,Terry Rozier,1610612748,MIA,2015.0,2024.0,N
409,201937,Ricky Rubio,1610612739,CLE,2011.0,2022.0,N
410,1641712,Rayan Rupert,1610612757,POR,2023.0,2024.0,N
411,1626156,D'Angelo Russell,1610612747,LAL,2015.0,2024.0,N
412,1630346,Matt Ryan,1610612740,NOP,2021.0,2024.0,N
413,1627734,Domantas Sabonis,1610612758,SAC,2016.0,2024.0,N
414,1629677,Luka Samanic,1610612762,UTA,2019.0,2024.0,N
415,1631257,Jermaine Samuels Jr.,1610612745,HOU,2023.0,2024.0,N
416,1641766,Adama Sanogo,1610612741,CHI,2023.0,2024.0,N
417,1630611,Gui Santos,1610612744,GSW,2023.0,2024.0,N
418,203967,Dario Saric,1610612743,DEN,2016.0,2024.0,N
419,1630846,Olivier Sarr,1610612760,OKC,2021.0,2023.0,N
420,1631204,Marcus Sasser,1610612765,DET,2023.0,2024.0,N
421,1629678,Admiral Schofield,1610612753,ORL,2019.0,2023.0,N
422,203471,Dennis Schroder,1610612751,BKN,2013.0,2024.0,N
423,1631220,Dereon Seabron,1610612740,NOP,2022.0,2024.0,N
424,1630578,Alperen Sengun,1610612745,HOU,2021.0,2024.0,N
425,1641729,Brice Sensabaugh,1610612762,UTA,2023.0,2024.0,N
426,1629012,Collin Sexton,1610612762,UTA,2018.0,2024.0,N
427,1629013,Landry Shamet,1610612764,WAS,2018.0,2023.0,N
428,1630549,Day'Ron Sharpe,1610612751,BKN,2021.0,2024.0,N
429,1631101,Shaedon Sharpe,1610612757,POR,2022.0,2024.0,N
430,1641767,Ben Sheppard,1610612754,IND,2023.0,2024.0,N
431,1627783,Pascal Siakam,1610612754,IND,2016.0,2024.0,N
432,1627732,Ben Simmons,1610612751,BKN,2016.0,2024.0,N
433,1629014,Anfernee Simons,1610612757,POR,2018.0,2024.0,N
434,1630579,Jericho Sims,1610612752,NYK,2021.0,2024.0,N
