"Player","eFG.","TRB","AST","STL","BLK","PTS","PER","USG.","WS","BPM","VORP","POS","AGE","PREV_CONT"
"Cameron Payne",0.541,1.5,2.6,0.5,0.1,7.4,12.8,19.1,2.4,-1.1,0.3,"PG",29.8,"$2,891,467.00"
"Cedi Osman",0.591,2.5,1.7,0.5,0.2,6.8,11.2,15.1,1.9,-2.1,0,"SF",29.2,"$7,779,711.00"
"Charlie Brown Jr.",0.3,0.3,0,0,0.3,0.8,-3.2,14,-0.1,-13.6,-0.1,"SG",26.3,"$0.00"
"Chimezie Metu",0.561,3.8,0.9,0.8,0.3,6.5,13.3,16.2,1.5,-1.3,0.2,"C",27.2,"$1,435,213.00"
"Chuma Okeke",0.46,1.7,0.4,0.2,0.1,2.3,6.9,13.3,0.3,-3.4,-0.2,"PF",25.8,"$3,774,548.00"
"Cody Zeller",0.427,2.6,0.9,0.2,0.1,1.8,12.8,12.9,0.8,-2.6,0,"C",31.7,"$3,196,448.00"
"Cole Swider",0.526,0.4,0.3,0.1,0.1,2.3,7.1,24,-0.1,-4.5,-0.1,"F",25.1,"$0.00"
"Colin Castleton",0.563,0.8,0.2,0.1,0,1.5,13,15.8,0.2,-5.2,0,"PF",24,"$0.00"
"D'Angelo Russell",0.56,3.1,6.3,0.9,0.5,18,16,23,5.1,0.9,1.8,"PG",28.2,"$18,000,000.00"
"Daishen Nix",0.5,0.2,0.4,0.3,0,1.8,12.3,28,0,-1.4,0,"PG",22.2,"$0.00"
"Dalano Banton",0.463,3.3,2.4,0.6,0.4,10.3,13.3,25.7,0.5,-1.3,0.2,"PG",24.6,"$2,108,338.00"
"Damian Jones",0.618,1.6,0.4,0.2,0.3,2.7,15.8,15.4,0.8,-0.5,0.1,"C",28.9,"$2,442,525.00"
"Damion Lee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SG",31.6,"$2,686,788.00"
"Daniel Theis",0.577,4.1,1,0.4,0.9,6.3,14.4,15.4,2.5,-1.6,0.1,"C",32.2,"$6,928,876.00"
"Danilo Gallinari",0.516,2.2,1.1,0.3,0.1,5.7,13.4,17.2,1.3,-1.9,0,"PF",35.8,"$1,047,112.00"
"DaQuan Jeffries",0.412,0.3,0.3,0,0.1,0.8,3.1,19.6,-0.1,-8.1,-0.1,"SG",27.1,"$1,362,620.00"
"Dario Saric",0.562,4.4,2.3,0.5,0.2,8,15.3,19.5,2.8,1,0.9,"PF",30.2,"$2,709,849.00"
"David Duke Jr.",0.639,2.5,1.3,0.5,0,6.5,16.2,18.5,0.1,1.4,0,"SG",24.6,"$0.00"
"Davis Bertans",0.556,1.4,0.8,0.6,0.3,6.7,11.6,17.4,0.9,-1.4,0.1,"PF",31.6,"$16,000,000.00"
"De'Anthony Melton",0.493,3.7,3,1.6,0.4,11.1,13.4,18.3,2.1,0.5,0.7,"SG",26,"$8,656,922.00"
"DeAndre Jordan",0.624,4.4,0.7,0.2,0.4,3.9,16,15.4,1.2,-1.7,0,"C",35.8,"$3,196,448.00"
"Delon Wright",0.46,1.8,2.5,1.1,0.2,4.5,13.6,12.8,1.7,0.4,0.5,"PG",32.1,"$947,205.00"
"DeMar DeRozan",0.507,4.3,5.3,1.1,0.6,24,19.7,25.8,9.2,1.8,2.8,"SF",34.8,"$27,300,000.00"
"Dennis Smith Jr.",0.482,2.9,3.6,1.2,0.2,6.6,13.4,17.7,1.8,-0.8,0.3,"PG",26.5,"$2,528,233.00"
"Dereon Seabron",0.346,1.2,0.8,0.3,0.2,2.3,9.2,12.4,0.1,-1.5,0,"SG",24,"$0.00"
"Derrick Jones Jr.",0.566,3.3,1,0.7,0.7,8.6,11.7,14.9,3.1,-1.5,0.2,"SF",27.2,"$3,280,000.00"
"Dominick Barlow",0.509,3.4,1.1,0.4,0.4,4.4,14.6,14.1,1.1,-1.7,0,"PF",21,"$455,620.00"
"Doug McDermott",0.599,0.9,1.1,0.3,0,5.5,9.1,14.9,0.9,-3.4,-0.3,"SF",32.4,"$13,750,000.00"
"Drew Eubanks",0.607,4.3,0.8,0.4,0.8,5.1,14.4,13.2,3.1,-1.2,0.2,"C",27.3,"$2,500,629.00"
"Drew Peterson",0.917,0.3,0.3,0.7,0,3.7,18.5,13.3,0.1,5.3,0,"F",24.6,"$0.00"
"Duane Washington Jr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PG",24.2,"$0.00"
"Dylan Windler",0.717,0.9,0.6,0.1,0,2.5,14.2,12.5,0.3,0.7,0.1,"SF",27.7,"$0.00"
"Emoni Bates",0.408,0.9,0.7,0.1,0.1,2.7,2.6,19.5,-0.3,-9.2,-0.2,"SG",20.3,"$0.00"
